Sales Order Number,Sales Order Date,Customer ID,product_id,system_sku,main_category,sub_category,brand_name,product_name,Visitors,Quantity,Transactions,Sales,Profit,Shipment Order Date,Ship Mode,City,Country,Location
1001,5/6/2018,66,33445,544-19591669505,Beauty,Men,Tommy Hilfiger,Tommy Hilfiger TH Bold Eau De Toilette Spray 100ml/3.4oz,1,3,239.98,239.976,17.9982,6/1/2018 16:00,Second Class,Henderson,United States,Kentucky
1002,7/17/2018,679,29523,544-17238821301,Beauty,Skincare,Academie,Academie Hypo-Sensible Nourishing Cream (Salon Size) 100ml/3.4oz,1,2,211.37,211.372,-45.294,6/4/2018 11:12,Second Class,Henderson,United States,Kentucky
1003,9/28/2018,679,30065,544-17350184006,Beauty,Fragrance,Calvin Klein,Calvin Klein One Red Edition For Her Eau De Toilette Spray 100ml/3.4oz,1,4,609.98,609.98,-113.282,6/4/2018 11:15,Second Class,Los Angeles,United States,California
1004,11/22/2018,471,32037,544-21945285901,Beauty,Skincare,Decleor,Decleor Hydra Floral White Petal Neroli & Sweet Orange Skin Perfecting Hydrating Sleeping Mask 50ml/1.7oz,1,5,99.2,99.2,25.792,6/4/2018 11:17,Standard Class,Fort Lauderdale,United States,Florida
1005,3/23/2019,471,33895,544-15522900202,Beauty,Makeup,Benefit,Benefit Bene Tint Rose Tinted Lip & Cheek Stain 10ml/0.33oz,1,3,626.1,626.1,-538.446,6/4/2018 11:20,Standard Class,Fort Lauderdale,United States,Florida
1006,12/6/2018,47,30156,544-18819303306,Beauty,Fragrance,Christina Aguilera,Christina Aguilera Red Sin Eau De Parfum Spray 30ml/1oz,1,3,1.73,1.728,-2.6784,6/4/2018 11:20,Standard Class,Los Angeles,United States,California
1007,4/26/2019,61,32945,544-12869434305,Beauty,Men,Hugo Boss,Hugo Boss Hugo Just Different Eau De Toilette Spray 75ml/2.5oz,1,4,"1,439.97",1439.968,143.9968,6/4/2018 11:20,Standard Class,Los Angeles,United States,California
1008,4/27/2018,59,33152,544-18081086105,Beauty,Men,Lagerfeld,Lagerfeld Pour Homme Eau De Toilette Spray 100ml/3.3oz,1,4,4.57,4.572,-3.81,6/4/2018 11:22,Standard Class,Los Angeles,United States,California
1009,4/9/2018,61,25293,544-20828629201,Beauty,Skincare,Peter Thomas Roth,Peter Thomas Roth 24K Gold Pure Luxury Lift & Firm Prism Cream 50ml/1.7oz,1,3,11.57,11.568,2.6028,6/4/2018 11:22,Standard Class,Los Angeles,United States,California
1010,5/17/2018,428,33389,544-19120097005,Beauty,Men,Sean John,Sean John 3AM Eau De Toilette Spray 100ml/3.4oz,1,2,159.98,159.98,57.5928,6/4/2018 11:23,Standard Class,Los Angeles,United States,California
1011,3/5/2018,428,29106,544-20529021301,Beauty,Skincare,Academie,Academie Aromatherapie Treatment Oil - Age Recovery 30ml/1oz,1,3,52.68,52.68,19.755,6/4/2018 11:23,Standard Class,Los Angeles,United States,California
1012,5/29/2018,348,29107,544-20529321301,Beauty,Skincare,Academie,Academie Aromatherapie Treatment Oil - For Redness 30ml/1oz,1,2,177.68,177.68,46.1968,6/4/2018 11:24,Standard Class,Los Angeles,United States,California
1013,1/7/2018,61,60053,544-21547500744,Beauty,Personal Care,Schwarzkopf,Schwarzkopf BC Repair Rescue Reversilane Deep Nourishing Treatment (For Thick to Normal Damaged Hair) 750ml/25.5oz,1,6,18.53,18.528,-27.792,6/4/2018 11:24,Standard Class,Concord,United States,North Carolina
1014,2/10/2018,61,60621,544-22471483703,Beauty,Personal Care,Lancaster,Lancaster Sun Sport Roll-On Sun Fluid SPF30 50ml/1.7oz,1,2,76.64,76.64,26.824,6/4/2018 11:25,Standard Class,Seattle,United States,Washington
1015,9/10/2018,680,60860,544-20754354801,Beauty,Skincare,Clé de Peau,My Beauty Diary Mask - Hyaluronic Acid Moisturizing (Immersive Hydration) 8pcs,1,4,13.18,13.184,-20.4352,6/4/2018 11:26,Standard Class,Fort Worth,United States,Texas
1016,1/24/2018,680,61964,544-11276726321,Beauty,Men,Zirh International,Zirh International Platinum R2 R-Evolution Resurface & Remedy Post Shave Healing Balm 100ml/3.4oz,1,4,48.78,48.784,-131.7168,6/4/2018 11:26,Standard Class,Fort Worth,United States,Texas
1017,10/30/2018,348,60128,544-14436301244,Beauty,Personal Care,Rusk,Rusk Deepshine Color Hydrate Conditioner 250ml/8.5oz,1,6,856.66,856.656,107.082,6/4/2018 11:26,Standard Class,Madison,United States,Wisconsin
1018,6/1/2018,63,60127,544-14434501244,Beauty,Personal Care,Rusk,Rusk Deepshine Oil Moisturizing Conditioner 250ml/8.5oz,1,2,4.93,4.928,1.7248,6/4/2018 11:26,Second Class,West Jordan,United States,Utah
1019,12/10/2017,59,61521,544-22466699603,Beauty,Fragrance,Yardley London,Yardley London Luxury Soap Collection: English Lavender + English Rose + Lily of Vally + April Violets 4x50ml/1.7oz,1,2,3.56,3.564,-2.97,6/4/2018 11:28,Second Class,San Francisco,United States,California
1020,2/23/2019,66,32656,544-18518839505,Beauty,Men,Dolce & Gabbana,Dolce & Gabbana The One Sport Eau De Toilette Spray 150ml/5oz,1,3,95.98,95.976,15.5961,6/4/2018 11:30,Second Class,San Francisco,United States,California
1021,4/23/2019,66,24388,544-17752021301,Beauty,Skincare,Academie,Academie Hypo-Sensible Normalizing Fluid Daily Treatment (Salon Size) 100ml/3.4oz,1,9,143.93,143.928,-32.3838,6/4/2018 11:30,Second Class,San Francisco,United States,California
1022,4/30/2019,681,32326,544-18791119405,Beauty,Men,Bottega Veneta,Bottega Veneta Pour Homme Extreme Eau De Toilette Spray 90ml/3oz,1,3,21.93,21.93,10.3071,6/4/2018 11:30,Standard Class,Fremont,United States,Nebraska
1023,7/2/2018,681,34794,544-13683295321,Beauty,Men,Ahava,Ahava Time To Energize Soothing After-Shave Moisturizer 50ml/1.7oz,1,8,182.72,182.72,84.0512,6/4/2018 11:33,Standard Class,Fremont,United States,Nebraska
1024,12/17/2017,61,32272,544-20192135105,Beauty,Men,Aramis,Aramis Black Eau De Toilette Spray 110ml/3.7oz,1,7,66.98,66.976,6.6976,6/4/2018 11:33,Second Class,Philadelphia,United States,Pennsylvania
1025,9/11/2018,682,34879,544-21536234301,Beauty,Skincare,Babor,Babor CLEANSING Phytoactive Reactivating 100ml/3.8oz,1,9,75.06,75.06,33.777,6/4/2018 11:34,Standard Class,Orem,United States,Utah
1026,10/13/2018,682,37240,544-19268860901,Beauty,Skincare,Evolu,Evolu Regulating Gel Cleanser 125ml/4oz,1,3,30.84,30.84,6.168,6/4/2018 11:37,Second Class,Los Angeles,United States,California
1027,4/18/2018,428,55998,544-22190021601,Beauty,Skincare,Dermalogica,Dermalogica Age Smart Daily Superfoliant (Salon Size) 114g/4oz,1,1,30.53,30.53,14.0438,6/4/2018 11:37,Second Class,Los Angeles,United States,California
1028,8/31/2018,683,55454,544-7551080106,Beauty,Fragrance,Christian Dior,Christian Dior J'Adore Eau De Toilette Spray 50ml/1.7oz,1,2,10.37,10.368,3.6288,6/4/2018 11:38,Standard Class,Philadelphia,United States,Pennsylvania
1029,9/1/2018,260,32669,544-18886739505,Beauty,Men,Dolce & Gabbana,Dolce & Gabbana Light Blue Discover Vulcano Eau De Toilette Spray 125ml/4.2oz,1,3,191.08,191.079,-38.2158,6/4/2018 11:38,Standard Class,Philadelphia,United States,Pennsylvania
1030,8/12/2018,37,39851,544-13981528301,Beauty,Skincare,Natura Bisse,Natura Bisse Essential Shock Intense Complex 30ml/1oz,1,4,18.5,18.496,6.7048,6/4/2018 11:39,Standard Class,Philadelphia,United States,Pennsylvania
1031,11/26/2018,568,55659,544-21921128803,Beauty,Personal Care,Clé de Peau,Crabtree & Evelyn Goatmilk & Oat Soothing Hand Therapy 250ml/8.64oz,1,3,32.06,32.064,-12.8256,6/4/2018 11:40,Standard Class,Philadelphia,United States,Pennsylvania
1032,3/10/2018,63,56469,544-16835301644,Beauty,Men,Joico,Joico Styling Joigel Firm Styling Gel (Hold 08) 1000ml/33.8oz,1,2,25.06,25.06,11.7782,6/4/2018 11:41,Standard Class,Philadelphia,United States,Pennsylvania
1033,3/27/2018,684,59021,544-22118469901,Beauty,Skincare,The Organic Pharmacy,The Organic Pharmacy Double Rose Rejuvenating Face Cream 50ml/1.69oz,1,3,494.97,494.97,148.491,6/4/2018 11:42,Standard Class,Philadelphia,United States,Pennsylvania
1034,3/11/2018,260,38466,544-15088628601,Beauty,Skincare,Kiehl's,Kiehl's Clearly Corrective White Deep Moisture Clarifying Cream 50ml/1.7oz,1,4,37.52,37.52,18.0096,6/4/2018 11:43,Standard Class,Philadelphia,United States,Pennsylvania
1035,4/24/2019,568,47749,544-15685883301,Beauty,Skincare,La Prairie,La Prairie Cellular Mineral Face Exfoliator 100ml/3.4oz,1,3,165.6,165.6,10.35,6/4/2018 11:43,Second Class,Houston,United States,Texas
1036,12/22/2018,684,58482,544-21936104144,Beauty,Personal Care,Philip Kingsley,Philip Kingsley Geranium & Neroli Elasticizer 500ml/16.9oz,1,3,17.94,17.94,3.0498,6/4/2018 11:45,First Class,Richardson,United States,Texas
1037,12/26/2017,685,37813,544-20408580701,Beauty,Skincare,Guerlain,Guerlain Radiance In A Flash Instant Radiance & Tightening 61220 15ml/0.5oz,1,3,312.03,312.03,43.6842,6/4/2018 11:45,First Class,Richardson,United States,Texas
1038,3/26/2019,37,36849,544-20080065901,Beauty,Skincare,EltaMD,EltaMD PM Therapy Facial Moisturizer 48g/1.7oz,1,2,489.23,489.23,41.934,6/4/2018 11:46,Standard Class,Houston,United States,Texas
1039,7/2/2018,685,56353,544-22049469701,Beauty,Skincare,Epionce,Epionce Daily Shield Lotion Tinted SPF 50 - For All Skin Types 50ml/1.7oz,1,9,"2,676.67",2676.672,267.6672,6/4/2018 11:48,Standard Class,Houston,United States,Texas
